directed_by|no_in_season|no_in_series|original_air_date|production_code|title|us_viewers_millions|written_by|nth_season|show|corpus_url|source|corpus
John P. Whitesell II|1|1|1990-09-13 00:00:00|66209|Prescription for Death||Teleplay: Ed Zuckerman Story: David Black & Ed Zuckerman|1|original|http://www.tv.com/shows/law-order/prescription-for-death-9460/recap|http://www.tv.com|
E.W. Swackhamer|2|2|1990-09-20 00:00:00|66205|Subterranean Homeboy Blues||Robert Palm|1|original|http://www.tv.com/shows/law-order/subterranean-homeboy-blues-9461/recap|http://www.tv.com|
Vern Gillum|3|3|1990-10-04 00:00:00|66215|The Reaper's Helper||Teleplay: Thomas Francis McElroy and David Black & Robert Stuart Nathan Story: Thomas Francis McElroy|1|original|http://www.tv.com/shows/law-order/the-reapers-helper-9462/recap|http://www.tv.com|
Charles Correll|4|4|1990-10-11 00:00:00|66210|Kiss the Girls and Make Them Die||Teleplay: Robert Stuart Nathan Story: Dick Wolf|1|original|http://www.tv.com/shows/law-order/kiss-the-girls-and-make-them-die-9463/recap|http://www.tv.com|
Vern Gillum|5|5|1990-10-23 00:00:00|66212|Happily Ever After||Teleplay: David Black & Robert Stuart Nathan Story: Dick Wolf & David Black|1|original|http://www.tv.com/shows/law-order/happily-ever-after-9464/recap|http://www.tv.com|
John Patterson|6|6|1990-10-30 00:00:00|83543|Everybody's Favorite Bagman||Dick Wolf|1|original|http://www.tv.com/shows/law-order/everybodys-favorite-bagman-9465/recap|http://www.tv.com|
Martin Davidson|7|7|1990-11-13 00:00:00|66203|By Hooker, By Crook||David Black|1|original|http://www.tv.com/shows/law-order/by-hooker-by-crook-9466/recap|http://www.tv.com|
E.W. Swackhamer|8|8|1990-11-20 00:00:00|66211|Poison Ivy||Teleplay: Jacob Brackman Story: Jack Richardson & Jacob Brackman|1|original|http://www.tv.com/shows/law-order/poison-ivy-9467/recap|http://www.tv.com|
James Quinn|9|9|1990-11-27 00:00:00|66207|Indifference||Robert Palm|1|original|http://www.tv.com/shows/law-order/indifference-9468/recap|http://www.tv.com|
Michael Fresco|10|10|1990-12-04 00:00:00|66208|Prisoner of Love||Teleplay: Robert Stuart Nathan Story: David Black & Robert Stuart Nathan|1|original|http://www.tv.com/shows/law-order/prisoner-of-love-9469/recap|http://www.tv.com|
E. W. Swackhamer|11|11|1990-12-11 00:00:00|66202|Out of the Half-Light||Michael Duggan|1|original|http://www.tv.com/shows/law-order/out-of-the-half-light-9470/recap|http://www.tv.com|
Aaron Lipstadt|12|12|1991-01-08 00:00:00|66213|Life Choice||Teleplay: David Black & Robert Stuart Nathan Story: Dick Wolf|1|original|http://www.tv.com/shows/law-order/life-choice-9471/recap|http://www.tv.com|
Gwen Arner|13|13|1991-01-15 00:00:00|66204|A Death in the Family||Teleplay: Joe Viola and David Black Story: Joe Viola|1|original|http://www.tv.com/shows/law-order/a-death-in-the-family-9472/recap|http://www.tv.com|
Don Scardino|14|14|1991-02-05 00:00:00|66219|The Violence of Summer||Michael Duggan|1|original|http://www.tv.com/shows/law-order/the-violence-of-summer-9473/recap|http://www.tv.com|
E.W. Swackhamer|15|15|1991-02-12 00:00:00|66222|The Torrents of Greed: Part 1||Teleplay: Michael S. Chernuchin Story: Michael Duggan & Michael S. Chernuchin|1|original|http://www.tv.com/shows/law-order/the-torrents-of-greed-part-1-9474/recap|http://www.tv.com|
E.W. Swackhamer|16|16|1991-02-19 00:00:00|66225|The Torrents of Greed: Part 2||Teleplay: Michael S. Chernuchin Story: Michael Duggan & Michael S. Chernuchin|1|original|http://www.tv.com/shows/law-order/the-torrents-of-greed-part-2-9475/recap|http://www.tv.com|
Daniel Sackheim|17|17|1991-02-26 00:00:00|66218|Mushrooms||Robert Palm|1|original|http://www.tv.com/shows/law-order/mushrooms-9476/recap|http://www.tv.com|
E.W. Swackhamer|18|18|1991-03-12 00:00:00|66221|The Secret Sharers||Robert Stuart Nathan|1|original|http://www.tv.com/shows/law-order/the-secret-sharers-9477/recap|http://www.tv.com|
Don Scardino|19|19|1991-03-19 00:00:00|66224|The Serpent's Tooth||Teleplay: René Balcer & Robert Stuart Nathan Story: I.C. Rapoport & Joshua Stern|1|original|http://www.tv.com/shows/law-order/the-serpents-tooth-9478/recap|http://www.tv.com|
John Whitesell|20|20|1991-03-26 00:00:00|66214|The Troubles||Teleplay: Robert Palm Story: Dick Wolf & Robert Palm|1|original|http://www.tv.com/shows/law-order/the-troubles-9479/recap|http://www.tv.com|
Fred Gerber|21|21|1991-04-02 00:00:00|66226|Sonata for a Solo Organ||Teleplay: Joe Morgenstern & Michael S. Chernuchin Story: Joe Morgenstern & Michael Duggan|1|original|http://www.tv.com/shows/law-order/sonata-for-solo-organ-9480/recap|http://www.tv.com|
Vern Gillum|22|22|1991-06-09 00:00:00|66220|The Blue Wall||Teleplay: Robert Stuart Nathan Story: Dick Wolf & Robert Stuart Nathan|1|original|http://www.tv.com/shows/law-order/the-blue-wall-9481/recap|http://www.tv.com|
Ed Sherin|1|206|1999-09-22 00:00:00|E1106|Gunshow||René Balcer|10|original|http://www.tv.com/shows/law-order/gunshow-9691/recap|http://www.tv.com|
